cnpj;DT_COMPTC;VL_PATRIM_LIQ
03699947000120;2026-03-12;48030384.44
03706631000119;2026-03-12;1283413.36
03707396000108;2026-03-12;233667126.92
03721554000176;2026-03-12;24417615.30
03737188000143;2026-03-12;327266096.90
03737190000112;2026-03-12;2342230409.00
03737200000110;2026-03-12;33170033.04
03737206000197;2026-03-12;24293741816.06
03737207000131;2026-03-12;20838359.57
03737208000186;2026-03-12;1534462213.04
03737209000120;2026-03-12;877133466.99
03737211000108;2026-03-12;843477123.92
03737212000144;2026-03-12;1277187076.85
03737217000177;2026-03-12;210115989.33
03737219000166;2026-03-12;54046242476.41
03737220000190;2026-03-12;864968736.82
03737222000180;2026-03-12;5575495972.08
03737223000124;2026-03-12;163589477.73
03737224000179;2026-03-12;9024771274.56
03737227000102;2026-03-12;4537488753.95
03749473000184;2026-03-11;151977006.45
03752361000182;2026-03-12;509502417.55
03752446000160;2026-03-12;356331292.75
03765626000187;2026-03-12;650271948.93
03765863000148;2026-03-12;11592180.49
03766040000137;2026-03-12;320416310.96
03766575000108;2026-03-12;562873675.70
03772955000155;2026-03-13;387720676.58
03774967000119;2026-03-12;16363462.74
03792701000107;2026-03-12;3481997.66
03804917000137;2026-03-12;28214829.52
03805966000194;2026-03-12;11868698.48
03805990000123;2026-03-12;42257826.56
03821078000165;2026-03-12;240742774.61
03821440000106;2026-03-12;1118816207.17
03824230000163;2026-03-12;17581365.25
03824408000176;2026-03-12;2893011.52
03833841000178;2026-03-12;50699637.43
03840123000129;2026-03-12;170887758.07
03859784000104;2026-03-12;75731618.04
03860122000146;2026-03-12;67799891.55
03860605000140;2026-03-13;150286885.97
03877036000146;2026-03-12;23093777.45
03877060000185;2026-03-12;1998175.52
03877474000104;2026-03-12;131022893.24
03877848000191;2026-03-12;1745074695.42
03879361000148;2026-03-12;89024774.31
03890892000131;2026-03-12;89856183.43
03894320000120;2026-03-12;167284636.53
03897077000102;2026-03-12;52470431.15
03899514000119;2026-03-12;288467140.52
03902512000131;2026-03-13;422689951.47
03904236000140;2026-03-12;108696943.10
03910929000146;2026-03-12;66046607.25
03913576000138;2026-03-12;8092789.81
03913949000170;2026-03-12;3955993.58
03914469000124;2026-03-12;14771829.34
03914671000156;2026-03-12;996205181.36
03915495000177;2026-03-13;863153.15
03915903000190;2026-03-12;803933631.75
03915910000192;2026-03-12;653310637.43
03916081000162;2026-03-12;306208775.84
03916733000169;2026-03-12;122433.15
03916755000129;2026-03-12;26561765.51
03917079000108;2026-03-12;52833259.80
03917096000145;2026-03-12;110599644.28
03917145000140;2026-03-12;78234494.96
03917163000121;2026-03-12;31232083.45
03917251000123;2026-03-12;113115568.38
03917545000155;2026-03-12;12536744.48
03917728000170;2026-03-12;56388884.20
03917776000169;2026-03-12;415724989.76
03917778000158;2026-03-12;400706962.88
03917780000127;2026-03-12;5431658.86
03917789000138;2026-03-12;16043659.18
03919493000156;2026-03-12;138341655.04
03919892000117;2026-03-12;198505973.86
03920165000170;2026-03-13;4677706.99
03920198000110;2026-03-12;10018967.55
03920413000182;2026-03-12;757469226.16
03922006000104;2026-03-12;51134488.34
03925702000174;2026-03-12;16824140.89
03925836000195;2026-03-12;41342284.93
03925892000120;2026-03-12;137915158.80
03926420000191;2026-03-12;691912609.93
03926431000171;2026-03-12;4892931776.23
03926455000120;2026-03-12;336815100.11
03929530000107;2026-03-12;67059093.07
03929711000133;2026-03-12;81642086.79
03929719000108;2026-03-12;17332266.03
03958061000154;2026-03-12;15751628143.90
03958114000137;2026-03-12;294013349.43
03958330000182;2026-03-12;6056822.68
03958682000138;2026-03-12;141600535.62
03959960000171;2026-03-12;29642213.66
03960320000181;2026-03-13;972216790.79
03960323000115;2026-03-13;120021803.98
03960349000163;2026-03-13;168131837.11
03962060000183;2026-03-12;59058394.18
03973388000103;2026-03-12;15499900.05
03986889000116;2026-03-12;18012987.12
03986896000118;2026-03-12;45021191.84
03998582000135;2026-03-12;27746477.54
03998735000144;2026-03-12;63401881.78
04003722000150;2026-03-12;4002847.34
04003809000128;2026-03-12;25116660.24
04042603000107;2026-03-12;34078622.40
04044634000105;2026-03-12;44593787.21
04052631000105;2026-03-12;462826886.84
04052699000194;2026-03-12;12301065.51
04056135000120;2026-03-12;418304010.39
04061044000182;2026-03-12;445493010.66
04061079000111;2026-03-12;9601765829.82
04061224000164;2026-03-12;10161022677.07
04061359000120;2026-03-12;1008742807.47
04061548000100;2026-03-12;695718197.15
04061652000197;2026-03-12;66093229.96
04061762000159;2026-03-12;1368755576.37
04066545000151;2026-03-12;5490508.46
04068453000100;2026-03-12;37554359.56
04073702000156;2026-03-12;451225322.97
04085474000134;2026-03-12;2794594555.18
04087244000104;2026-03-12;278624574.33
04087328000148;2026-03-13;164495120.37
04088125000176;2026-03-12;7570953.14
04088145000147;2026-03-12;3928109.69
04088561000145;2026-03-12;95786046.87
04089399000180;2026-03-12;2689007.47
04089406000143;2026-03-12;7186895.52
04089491000140;2026-03-12;6100153.18
04089495000128;2026-03-12;5324415.04
04093184000132;2026-03-12;1224371066.82
04103082000150;2026-03-12;3205664.87
04103102000193;2026-03-12;46027010.72
04103968000102;2026-03-12;93434811.43
04104064000193;2026-03-12;298482159.89
04108584000174;2026-03-12;5575378.02
04113821000195;2026-03-12;112161146.14
04113848000188;2026-03-12;4809016.62
04118024000109;2026-03-12;561326551.43
04118043000127;2026-03-12;13470094.56
04118325000124;2026-03-05;93643156.13
04118327000113;2026-03-11;77581212.35
04118652000186;2026-03-12;3162101911.10
04118854000128;2026-03-12;22456685232.32
04118883000190;2026-03-12;4017546172.64
04128522000124;2026-03-12;14463962.82
04128557000163;2026-03-12;204131826.88
04128562000176;2026-03-12;18912556162.69
04128595000116;2026-03-12;20697270.02
04128704000103;2026-03-12;214273721.72
04128723000121;2026-03-12;72900480.98
04128893000106;2026-03-12;145470881.54
04129095000107;2026-03-12;162069883.86
04147027000162;2026-03-12;73814891.72
04147465000120;2026-03-12;25939614.62
04148140000162;2026-03-12;560083533.92
04150666000187;2026-03-12;17736863723.21
04150673000189;2026-03-12;172741534.29
04150705000146;2026-03-13;10324013.04
04160232000168;2026-03-12;14735800420.94
04163008000120;2026-03-12;2519732.12
04163555000105;2026-03-12;17915118.68
04165971000142;2026-03-12;50437627.33
04172301000153;2026-03-12;4920598.80
04178681000133;2026-03-12;3227908.10
04192419000143;2026-03-12;37368110.12
04194710000150;2026-03-12;1415280.38
04194774000151;2026-03-13;33553750.06
04195359000112;2026-03-12;9951286.27
04201010000146;2026-03-12;24469225.55
04207925000169;2026-03-11;227061733.95
04211569000157;2026-03-12;47111350.97
04215425000179;2026-03-12;1678736.98
04220338000100;2026-03-12;557210478.36
04222368000155;2026-03-12;188599115.18
04222376000100;2026-03-12;44778061.99
04222383000101;2026-03-12;8312264.16
04222426000140;2026-03-11;1897961684.31
04222433000142;2026-03-12;251447284.48
04222437000120;2026-03-12;120026557.55
04222716000194;2026-03-12;82881884.82
04223291000138;2026-03-12;762622117.10
04223314000104;2026-03-12;37227442.98
04228545000100;2026-03-12;1011670804.57
04228716000100;2026-03-12;314367597.86
04237569000126;2026-03-12;12730829246.85
04237578000117;2026-03-12;492939275.06
04237583000120;2026-03-12;543355878.52
04240128000183;2026-03-12;179579660.93
04244137000142;2026-03-12;11402000.06
04244149000177;2026-03-12;33921695.10
04253072000100;2026-03-12;548205900.23
04253078000179;2026-03-12;14982772274.53
04253202000104;2026-03-12;9869144630.38
04253207000129;2026-03-12;84922666.04
04260468000176;2026-03-12;1505103195.63
04260579000182;2026-03-12;21687692.56
04262710000140;2026-03-12;36160720.63
04262717000162;2026-03-12;16881475.90
04264940000149;2026-03-12;3001852634.84
04272487000112;2026-03-12;1627247.16
04277386000134;2026-03-12;32208494.89
04277488000150;2026-03-12;7709597.94
04277491000173;2026-03-12;16761628.00
04288780000178;2026-03-12;23291074.59
04288830000117;2026-03-12;787168903.69
04288944000167;2026-03-12;48848993.27
